iter	CatBoostOptimizedQWKMetric	RMSE
0	0	0.7396219991
1	0.06800075068	0.7235763313
2	0.0548507272	0.707908306
3	0.02922191977	0.6930226604
4	0.1086170684	0.6784907754
5	0.06359497725	0.664756891
6	0.09320305611	0.6516484478
7	0.1309271948	0.6392683567
8	0.1260570279	0.6270923856
9	0.1025199454	0.615177797
10	0.08840969458	0.6034451901
11	0.1378774619	0.5921963459
12	0.1441542222	0.5815708599
13	0.1422217277	0.5717924494
14	0.1393242722	0.5623718658
15	0.1415768987	0.5523605624
16	0.1612200594	0.5435950509
17	0.163913043	0.5343152974
18	0.1552301246	0.5251664075
19	0.1376763189	0.5174779239
20	0.1419561957	0.5099574951
21	0.1595762851	0.5030460926
22	0.1812353521	0.4963069321
23	0.2423568232	0.4897114592
24	0.2784918354	0.4826774869
25	0.2904779983	0.4760139781
26	0.2929904666	0.470342078
27	0.3087373733	0.4639982256
28	0.3115266318	0.4582064531
29	0.3237781817	0.4522884976
30	0.360209893	0.4475026504
31	0.3821368869	0.4429617685
32	0.3920918079	0.4379008613
33	0.3982030317	0.4336333549
34	0.4025264034	0.4297294546
35	0.4034260089	0.4260924475
36	0.4178102715	0.4215234482
37	0.4382211081	0.4179887836
38	0.4544368157	0.4140247643
39	0.4583822326	0.4101684246
40	0.4598222916	0.4072014105
41	0.4625807411	0.4042639008
42	0.4648503189	0.4011795
43	0.4664943193	0.3986069996
44	0.4661050881	0.3962035311
45	0.4655277582	0.393370709
46	0.4676724074	0.3911202516
47	0.4674749758	0.3882861771
48	0.4668131702	0.3863283199
49	0.4640026522	0.3836607173
50	0.4645126789	0.3814785142
51	0.4658323069	0.3797520977
52	0.4667343399	0.3782170364
53	0.4673794364	0.376578445
54	0.4638613176	0.3744159574
55	0.4658122935	0.3730422479
56	0.4683919238	0.371434312
57	0.4749026994	0.3703051291
58	0.4927308648	0.3690684505
59	0.5039862216	0.3675724902
60	0.5089308485	0.366536077
61	0.5129905158	0.3655462426
62	0.5183783007	0.3640262659
63	0.5240098399	0.3625668066
64	0.5254040572	0.3617269256
65	0.5274576539	0.3603623197
66	0.5304567749	0.3591467272
67	0.5334822164	0.3578618615
68	0.5338269154	0.3571116786
69	0.5345436797	0.3564682686
70	0.5370055732	0.3554207813
71	0.5382250637	0.3544168295
72	0.5393828498	0.3534483925
73	0.5415159964	0.35274516
74	0.5408459859	0.3522261137
75	0.5414860565	0.3513357234
76	0.5416191035	0.3507063202
77	0.5416212154	0.350289367
78	0.542294916	0.3497889183
79	0.5420295206	0.3493089646
80	0.5422478013	0.3488760862
81	0.5441847539	0.3484583287
82	0.545439223	0.347984416
83	0.5455605921	0.3475052494
84	0.5461624518	0.3471319855
85	0.5472305543	0.3467599449
86	0.5491724514	0.3460973464
87	0.5500767576	0.3457430167
88	0.5509458782	0.345416234
89	0.5504969837	0.3451158793
90	0.5516619357	0.344669309
91	0.5526161934	0.3443334955
92	0.5524003807	0.3440724104
93	0.5545010187	0.3435814123
94	0.5559039115	0.3430675566
95	0.5570460654	0.3428314322
