iter	Passed	Remaining
0	228	1371974
1	345	1034739
2	460	920752
3	580	870394
4	708	849237
5	839	838748
6	963	824659
7	1081	809682
8	1192	793973
9	1304	781671
10	1420	773413
11	1537	767087
12	1656	762840
13	1773	758446
14	1888	753506
15	2000	748049
16	2109	742510
17	2221	738201
18	2332	734322
19	2445	731230
20	2553	726953
21	2669	725362
22	2801	728050
23	2925	728471
24	3051	729315
25	3167	727855
26	3278	725345
27	3389	723011
28	3496	719945
29	3615	719539
30	3739	720107
31	3867	721267
32	3993	722019
33	4111	721523
34	4230	720969
35	4344	719784
36	4456	718232
37	4574	717752
38	4731	723218
39	4863	724617
40	4975	723131
41	5086	721610
42	5196	719965
43	5308	718584
44	5422	717584
45	5546	717965
46	5625	712499
47	5750	713122
48	5864	712297
49	5976	711150
50	6087	710143
51	6201	709314
52	6329	710229
53	6460	711369
54	6580	711327
55	6700	711206
56	6815	710594
57	6928	709824
58	7041	709080
59	7167	709582
60	7298	710626
61	7415	710185
62	7528	709507
63	7641	708790
64	7756	708263
65	7885	708968
66	8012	709529
67	8128	709051
68	8257	709819
69	8397	711407
70	8552	714168
71	8720	718019
72	8836	717473
73	9013	721777
74	9158	723487
75	9275	723009
76	9395	722724
77	9539	724282
78	9684	725826
79	9797	724994
80	9910	724185
81	10025	723530
82	10134	722479
83	10247	721686
84	10356	720717
85	10474	720299
86	10592	719932
87	10712	719709
88	10835	719647
89	10958	719584
90	11085	719805
91	11208	719769
92	11347	720729
93	11504	722850
94	11627	722727
95	11751	722707
96	11869	722348
97	12053	725922
98	12214	728048
99	12357	729115
100	12480	728961
101	12601	728678
102	12723	728451
103	12844	728210
104	12964	727883
105	13085	727627
106	13194	726690
107	13306	725935
108	13417	725186
109	13532	724580
110	13644	723917
111	13759	723360
112	13874	722843
113	13991	722385
114	14105	721847
115	14214	721032
116	14337	720926
117	14483	721987
118	14601	721630
119	14713	720985
120	14825	720327
121	14936	719662
122	15048	719012
123	15159	718386
124	15272	717814
125	15388	717383
126	15515	717483
127	15636	717311
128	15757	717170
129	15868	716513
130	15984	716134
131	16103	715877
132	16254	717039
133	16369	716597
134	16483	716116
135	16597	715635
136	16722	715660
137	16847	715663
138	16972	715639
139	17121	716643
140	17252	716879
141	17374	716755
142	17495	716586
143	17621	716592
144	17735	716160
