iter	WKappa	MultiClass
0	0.4482023561	-1.364617682
1	0.4474179942	-1.344630152
2	0.4511382015	-1.325637137
3	0.4503535953	-1.308835922
4	0.4506103202	-1.293254361
5	0.4547160808	-1.278972058
6	0.4555650074	-1.265282128
7	0.4418164935	-1.253795514
8	0.4466632378	-1.241868721
9	0.4476521742	-1.230614092
10	0.4492112389	-1.220093786
11	0.4494409373	-1.210488476
12	0.4513919737	-1.201453419
13	0.4545277685	-1.192616879
14	0.4544537688	-1.185295481
15	0.4561122766	-1.177780684
16	0.4565386531	-1.170350251
17	0.4605078874	-1.163377313
18	0.4605711513	-1.156836717
19	0.4604723972	-1.150854075
20	0.4563135758	-1.145686672
21	0.4605858204	-1.140391913
22	0.4621670688	-1.136418692
23	0.4561731197	-1.132263819
24	0.4602479007	-1.128184108
25	0.4612108467	-1.124329571
26	0.4632546761	-1.119935224
27	0.4622541615	-1.117112647
28	0.4625775941	-1.113169497
29	0.4617742843	-1.1099295
30	0.4608158249	-1.107180202
31	0.4627695639	-1.104518543
32	0.4646154778	-1.101903278
33	0.468280314	-1.099590557
34	0.4675288383	-1.097126432
35	0.4683074766	-1.094085895
36	0.4674697265	-1.091766353
37	0.4663979134	-1.089541305
38	0.4650706489	-1.08768681
39	0.4637177681	-1.085623976
40	0.4653407016	-1.083693695
41	0.4673934519	-1.08135443
42	0.4688214021	-1.07967875
43	0.4700903435	-1.077877366
44	0.4706552744	-1.075697128
45	0.4692176364	-1.073894756
46	0.4696244174	-1.072402273
47	0.4701815471	-1.070958198
48	0.4696930363	-1.069681679
49	0.4696297108	-1.068288376
50	0.4689600384	-1.066967336
51	0.4691475014	-1.066017951
52	0.4694873349	-1.064533719
53	0.4707351456	-1.062888125
54	0.4696546034	-1.061438928
55	0.470351038	-1.060317019
56	0.4705651262	-1.059022441
57	0.4696160742	-1.057859373
58	0.470210955	-1.056789054
59	0.4699103892	-1.0556893
60	0.4702798507	-1.054751781
61	0.470132263	-1.05409136
62	0.4703854988	-1.05320019
63	0.4703488214	-1.05238366
64	0.4699753681	-1.05166266
65	0.4700977006	-1.050437814
66	0.4711422831	-1.04963264
67	0.4714325956	-1.048979972
68	0.4719369479	-1.048080361
69	0.4724478306	-1.047445525
70	0.4729607366	-1.04695683
71	0.4726469623	-1.04644313
72	0.4744632818	-1.045761604
73	0.473864276	-1.045081479
74	0.4744764591	-1.044526545
75	0.47623534	-1.043593858
76	0.4757879591	-1.043048106
77	0.4752963852	-1.042566601
78	0.4766441241	-1.041941846
79	0.477743625	-1.041492303
80	0.477838337	-1.040853447
81	0.477797854	-1.040314809
82	0.4780449867	-1.039767698
83	0.4787191806	-1.039277717
84	0.4803390572	-1.03865544
85	0.4808192737	-1.037818023
86	0.4812793378	-1.037442897
87	0.4812186211	-1.036994906
88	0.4810290385	-1.036385888
89	0.4815122349	-1.035877633
90	0.4819025047	-1.035437624
91	0.4822113244	-1.035159561
92	0.4834520814	-1.034835648
93	0.4828993334	-1.034437657
94	0.4846540001	-1.033758671
95	0.4849935022	-1.033095309
96	0.4846881935	-1.032747943
