iter	Passed	Remaining
0	214	1286579
1	399	1197483
2	597	1194610
3	787	1179888
4	975	1169484
5	1163	1162032
6	1347	1154014
7	1547	1158738
8	1739	1158019
9	1929	1155774
10	2119	1154212
11	2312	1154087
12	2502	1152701
13	2701	1155012
14	2902	1157907
15	3102	1160249
16	3297	1160590
17	3489	1159737
18	3683	1159603
19	3881	1160465
20	4074	1160010
21	4267	1159630
22	4463	1159850
23	4663	1161148
24	4861	1161966
25	5094	1170503
26	5272	1166485
27	5476	1168165
28	5686	1170764
29	5892	1172617
30	6100	1174647
31	6304	1175871
32	6509	1177030
33	6715	1178419
34	6922	1179747
35	7125	1180472
36	7329	1181285
37	7536	1182377
38	7752	1184940
39	7962	1186418
40	8167	1187100
41	8369	1187299
42	8569	1187202
43	8775	1187848
44	8980	1188465
45	9186	1188989
46	9391	1189472
47	9593	1189560
48	9806	1190990
49	10040	1194785
50	10244	1194933
51	10447	1195025
52	10656	1195785
53	10859	1195720
54	11064	1195963
55	11266	1195847
56	11470	1195935
57	11676	1196195
58	11877	1196020
59	12082	1196214
60	12287	1196299
61	12487	1195953
62	12686	1195568
63	12891	1195684
64	13093	1195573
65	13299	1195711
66	13502	1195696
67	13710	1196031
68	13914	1196065
69	14122	1196408
70	14330	1196725
71	14540	1197199
72	14754	1197936
73	14992	1200617
74	15200	1200855
75	15411	1201272
76	15620	1201526
77	15832	1202022
78	16044	1202516
79	16252	1202669
80	16465	1203221
81	16674	1203401
82	16886	1203850
83	17096	1204051
84	17308	1204465
85	17523	1205047
86	17741	1205839
87	17952	1206076
88	18164	1206398
89	18375	1206671
90	18591	1207202
91	18804	1207586
92	19018	1207962
93	19229	1208171
94	19442	1208518
95	19674	1209987
96	19917	1212085
97	20128	1212216
98	20342	1212506
99	20558	1212926
100	20775	1213402
101	20993	1213927
102	21212	1214469
103	21427	1214747
104	21643	1215126
105	21856	1215314
106	22071	1215595
107	22286	1215862
108	22499	1216013
109	22715	1216331
110	22931	1216613
111	23157	1217405
112	23373	1217678
113	23586	1217828
114	23799	1217899
115	24013	1218046
116	24223	1218031
117	24439	1218235
118	24682	1219801
119	24899	1220062
120	25109	1219989
121	25325	1220168
122	25539	1220305
123	25754	1220446
124	25969	1220568
125	26184	1220700
126	26396	1220705
127	26608	1220669
128	26824	1220837
129	27036	1220818
130	27249	1220821
131	27478	1221526
132	27693	1221633
133	27907	1221669
134	28121	1221706
135	28336	1221810
136	28552	1221913
137	28768	1222051
138	28982	1222045
139	29194	1222001
140	29407	1221956
141	29664	1223773
142	29878	1223769
143	30093	1223821
144	30306	1223775
145	30519	1223714
146	30733	1223703
147	30946	1223642
148	31160	1223642
149	31377	1223709
150	31591	1223714
151	31807	1223740
152	32019	1223643
153	32235	1223678
154	32448	1223619
155	32661	1223549
156	32876	1223555
157	33089	1223468
158	33304	1223458
159	33515	1223331
160	33730	1223309
161	33942	1223191
162	34157	1223179
163	34370	1223084
164	34611	1223998
165	34825	1223937
166	35037	1223807
167	35250	1223685
168	35461	1223510
169	35674	1223434
170	35885	1223239
171	36097	1223107
172	36309	1222974
173	36519	1222769
174	36730	1222590
175	36949	1222679
176	37170	1222839
177	37390	1222955
178	37602	1222807
179	37814	1222669
180	38026	1222530
181	38241	1222458
182	38456	1222424
183	38671	1222347
184	38885	1222256
185	39097	1222114
186	39308	1221917
187	39564	1223130
188	39779	1223051
189	39991	1222885
190	40209	1222927
191	40423	1222820
192	40633	1222594
193	40845	1222427
194	41056	1222219
195	41269	1222076
196	41483	1221971
197	41696	1221842
198	41908	1221662
199	42118	1221425
200	42330	1221271
201	42544	1221165
202	42782	1221716
203	43003	1221816
204	43228	1221982
205	43450	1222090
206	43666	1222018
207	43877	1221830
208	44088	1221619
209	44305	1221558
210	44547	1222203
211	44759	1222027
212	44969	1221774
213	45183	1221631
214	45396	1221487
215	45623	1221693
216	45837	1221549
217	46048	1221345
218	46264	1221243
219	46476	1221074
220	46687	1220858
221	46902	1220731
222	47119	1220657
223	47336	1220610
224	47547	1220385
225	47762	1220272
226	47975	1220099
227	48187	1219912
228	48397	1219662
229	48610	1219497
230	48824	1219347
231	49037	1219181
232	49271	1219519
233	49507	1219915
234	49719	1219719
235	49932	1219544
236	50146	1219388
237	50362	1219275
238	50579	1219210
239	50790	1218982
240	51004	1218808
241	51219	1218677
242	51432	1218496
243	51643	1218269
244	51856	1218102
245	52069	1217924
246	52284	1217782
247	52495	1217557
248	52721	1217685
249	52933	1217469
250	53147	1217301
251	53358	1217072
252	53571	1216901
253	53782	1216676
254	53993	1216439
255	54211	1216379
256	54452	1216811
257	54665	1216620
258	54877	1216424
259	55087	1216173
260	55296	1215895
261	55514	1215813
262	55728	1215648
263	55940	1215434
264	56151	1215203
265	56366	1215068
266	56581	1214916
267	56790	1214633
268	57006	1214505
269	57226	1214472
270	57439	1214279
271	57652	1214087
272	57862	1213833
273	58072	1213598
274	58285	1213408
275	58497	1213197
276	58710	1212990
277	58921	1212763
278	59155	1213005
279	59398	1213435
280	59610	1213217
281	59824	1213031
282	60033	1212762
283	60249	1212622
284	60465	1212490
285	60677	1212283
286	60890	1212072
287	61101	1211856
288	61323	1211828
289	61538	1211679
290	61749	1211441
291	61961	1211229
292	62171	1210958
293	62384	1210764
294	62595	1210528
295	62807	1210325
296	63020	1210129
297	63233	1209931
298	63445	1209703
299	63658	1209508
300	63868	1209266
301	64095	1209321
302	64356	1210021
303	64570	1209854
304	64783	1209649
305	64996	1209442
306	65210	1209259
307	65422	1209038
308	65634	1208826
309	65847	1208622
310	66057	1208355
311	66271	1208176
312	66484	1207973
313	66698	1207786
314	66918	1207721
315	67135	1207597
316	67347	1207364
317	67560	1207171
318	67775	1207001
319	67988	1206790
320	68200	1206583
321	68413	1206367
322	68627	1206182
323	68839	1205970
324	69087	1206369
325	69311	1206362
326	69522	1206118
327	69733	1205886
328	69953	1205794
329	70166	1205583
330	70378	1205362
331	70589	1205117
332	70800	1204887
333	71011	1204650
334	71222	1204410
335	71433	1204164
336	71647	1203981
337	71863	1203813
338	72080	1203673
339	72290	1203425
340	72504	1203227
341	72718	1203044
342	72933	1202867
343	73145	1202649
344	73360	1202468
345	73570	1202223
346	73783	1202018
347	74027	1202315
348	74240	1202095
349	74454	1201901
350	74669	1201739
351	74880	1201495
352	75093	1201286
353	75307	1201084
354	75522	1200907
355	75738	1200751
356	75952	1200560
357	76164	1200341
358	76378	1200139
359	76588	1199880
360	76813	1199865
361	77025	1199640
362	77240	1199454
363	77454	1199262
364	77667	1199058
365	77882	1198872
366	78095	1198669
367	78309	1198470
368	78522	1198273
369	78739	1198122
370	78980	1198326
371	79194	1198133
372	79404	1197880
373	79618	1197679
374	79833	1197506
375	80046	1197296
376	80257	1197053
377	80471	1196860
378	80688	1196699
379	80902	1196508
380	81114	1196286
381	81328	1196079
382	81540	1195852
383	81755	1195673
384	81968	1195468
385	82197	1195476
386	82414	1195323
387	82627	1195117
388	82841	1194914
389	83052	1194685
390	83265	1194459
391	83479	1194265
392	83690	1194033
393	83930	1194200
394	84142	1193974
395	84355	1193755
396	84568	1193549
397	84784	1193369
398	84996	1193147
399	85207	1192908
400	85420	1192685
401	85632	1192463
402	85852	1192351
403	86066	1192155
404	86279	1191938
405	86499	1191812
406	86714	1191628
407	86926	1191403
408	87140	1191204
409	87356	1191032
410	87570	1190828
411	87783	1190618
412	87995	1190385
413	88210	1190198
414	88423	1189988
415	88633	1189739
416	88892	1190130
417	89105	1189914
418	89322	1189756
419	89535	1189547
420	89746	1189300
421	89962	1189122
422	90177	1188931
423	90391	1188728
424	90606	1188544
425	90819	1188333
426	91035	1188149
427	91251	1187974
428	91466	1187786
429	91681	1187589
430	91896	1187406
431	92110	1187200
432	92322	1186970
433	92532	1186720
434	92748	1186537
435	92961	1186325
436	93175	1186118
437	93391	1185944
438	93611	1185816
439	93846	1185881
440	94055	1185608
441	94267	1185385
442	94482	1185193
443	94695	1184972
444	94911	1184793
445	95125	1184593
446	95338	1184375
447	95553	1184176
448	95764	1183943
449	95976	1183706
450	96189	1183490
451	96406	1183328
452	96624	1183171
453	96839	1182977
454	97052	1182755
455	97268	1182582
456	97480	1182354
457	97696	1182170
458	97913	1182001
459	98125	1181772
460	98341	1181596
461	98569	1181553
462	98806	1181625
463	99023	1181455
464	99237	1181244
465	99452	1181054
466	99667	1180855
467	99880	1180638
468	100092	1180403
469	100331	1180497
470	100548	1180319
471	100763	1180123
472	100976	1179909
473	101190	1179697
474	101401	1179459
475	101614	1179236
476	101828	1179031
477	102042	1178825
478	102256	1178618
479	102475	1178469
480	102686	1178228
481	102899	1178011
482	103112	1177783
483	103322	1177534
484	103572	1177739
485	103784	1177506
486	103994	1177256
487	104208	1177045
488	104420	1176813
489	104632	1176581
490	104840	1176306
491	105055	1176110
492	105266	1175870
493	105479	1175642
494	105693	1175440
495	105906	1175215
496	106125	1175062
497	106345	1174929
498	106556	1174685
499	106769	1174465
500	106983	1174257
501	107200	1174079
502	107420	1173937
503	107635	1173735
504	107846	1173498
505	108062	1173312
506	108279	1173130
507	108536	1173390
508	108750	1173178
509	108964	1172973
510	109175	1172732
511	109389	1172518
512	109603	1172303
513	109812	1172048
514	110024	1171810
515	110236	1171586
516	110452	1171389
517	110665	1171178
518	110881	1170982
519	111093	1170758
520	111309	1170570
521	111521	1170332
522	111741	1170190
523	111955	1169977
524	112170	1169774
525	112385	1169579
526	112598	1169359
527	112809	1169121
528	113020	1168872
529	113236	1168681
530	113478	1168766
531	113692	1168554
532	113907	1168350
533	114122	1168157
534	114333	1167911
535	114546	1167690
536	114755	1167428
537	114967	1167193
538	115179	1166964
539	115395	1166775
540	115611	1166587
541	115821	1166334
542	116041	1166181
543	116259	1166019
544	116475	1165818
545	116689	1165614
546	116900	1165373
547	117111	1165135
548	117328	1164950
549	117537	1164694
550	117759	1164555
551	118063	1165237
552	118373	1165965
553	118599	1165868
554	118900	1166515
555	119149	1166639
556	119477	1167537
557	119699	1167391
558	119949	1167521
559	120171	1167384
560	120390	1167205
561	120628	1167216
562	120834	1166920
563	121059	1166808
564	121312	1166961
565	121551	1166978
566	121758	1166691
567	121968	1166434
568	122184	1166226
569	122413	1166145
570	122620	1165860
571	122827	1165569
572	123040	1165341
573	123285	1165416
574	123489	1165095
575	123693	1164782
576	123895	1164448
577	124096	1164105
578	124299	1163779
579	124500	1163436
580	124706	1163138
581	124907	1162795
582	125108	1162460
583	125310	1162121
584	125510	1161772
585	125714	1161464
586	125920	1161173
587	126123	1160847
588	126325	1160523
589	126525	1160178
590	126724	1159820
591	126923	1159465
592	127124	1159125
593	127322	1158767
594	127521	1158407
595	127724	1158090
596	127924	1157751
597	128159	1157725
598	128361	1157400
599	128576	1157190
600	128788	1156952
601	129006	1156776
602	129214	1156497
603	129391	1155957
604	129590	1155606
605	129789	1155254
606	129989	1154910
607	130189	1154575
608	130395	1154292
609	130600	1153995
610	130799	1153644
611	131000	1153321
612	131202	1153001
613	131403	1152674
614	131604	1152346
615	131788	1151868
616	132010	1151724
617	132219	1151461
618	132421	1151144
619	132620	1150800
620	132819	1150458
621	133050	1150393
622	133249	1150052
623	133448	1149710
624	133647	1149369
625	133845	1149022
626	134050	1148731
627	134248	1148378
628	134446	1148028
629	134642	1147668
630	134840	1147318
631	135038	1146972
632	135236	1146626
633	135437	1146305
634	135642	1146017
635	135850	1145756
636	136050	1145426
637	136248	1145085
638	136448	1144758
639	136647	1144419
640	136846	1144083
641	137047	1143766
642	137244	1143419
643	137445	1143102
644	137644	1142773
645	137832	1142346
646	138060	1142252
647	138257	1141902
648	138467	1141664
649	138664	1141319
650	138864	1140994
651	139070	1140716
